"report-file-0"
"Iteration" "drag-5"
("Iteration" "drag-5")
10 0.03772648467809281
20 0.02359256890622547
30 0.01791460968151589
40 0.01518980373042669
50 0.01368655707898612
60 0.0127049388484595
70 0.0120134278119909
80 0.0115171924185095
90 0.01115483971414011
100 0.01089162205837765
110 0.01070222699720054
120 0.01056939892685358
130 0.01047943283461511
140 0.01042206768504419
150 0.01039050587697911
160 0.01037811104489045
170 0.01038088990365352
180 0.01039614759404448
190 0.01042081683390195
200 0.01045251072710132
210 0.01048967612456612
220 0.01053135392519505
230 0.01057672665772253
240 0.01062496928942029
250 0.01067543793691969
260 0.01072766911153553
270 0.01078113307091588
280 0.01083527850580479
290 0.01088972162484061
300 0.010944200834839
310 0.0109984639099219
320 0.01105203033080828
330 0.01110424926144373
340 0.01115452161735704
350 0.01120212357791367
360 0.01124679049671325
370 0.01128835448904014
380 0.01132710125457061
390 0.01136319284862651
400 0.01139624178368078
410 0.01142663764444639
420 0.01145466396663914
430 0.01148071385457228
440 0.01150478294602164
450 0.01152722948181797
460 0.01154823762092553
470 0.01156791936464921
480 0.01158643445520015
490 0.0116038886132346
500 0.01162038723729039
510 0.01163610113517289
520 0.01165101507405283
530 0.0116651224327326
540 0.0116784810884256
550 0.01169121610698925
560 0.01170324431989824
570 0.01171475618272032
580 0.01172572779682113
590 0.01173617323983458
600 0.01174613497179384
610 0.01175563174768879
620 0.0117646791664023
630 0.01177335405511485
640 0.01178151248652992
650 0.01178934033473811
660 0.01179680123624743
670 0.01180391687462983
680 0.01181070391326037
690 0.01181717767179253
700 0.01182335464674033
710 0.01182924891118409
720 0.0118348737555399
730 0.01184024094945045
740 0.01184536457089466
750 0.01185025482865029
760 0.01185492024202456
770 0.01185937302032259
780 0.01186362538188797
790 0.01186768474739494
800 0.01187155804538009
810 0.01187525461621217
820 0.01187878182908228
830 0.01188214703624386
840 0.01188535747460817
850 0.01188842063520458
860 0.01189134407990349
870 0.01189413306085973
880 0.01189679346533836
890 0.01189933115347349
900 0.01190175196079535
910 0.01190406103888719
920 0.01190626345657687
930 0.01190836393391808
940 0.01191036718484377
950 0.0119122771072356
960 0.01191409854361913
970 0.01191583575532569
980 0.01191749255443943
990 0.01191907265952302
1000 0.01192058002300706
