"drag-00-rfile"
"Iteration" "drag-00"
("Iteration" "drag-00")
10 0.03255980182563999
20 0.01766805894999789
30 0.01469370216865415
40 0.01308493262824091
50 0.01197809200995191
60 0.01117778685249382
70 0.01057935430746733
80 0.01012845824183772
90 0.009790888541193777
100 0.009537637056863156
110 0.009349706701466636
120 0.009213797224458956
130 0.009118956958864569
140 0.009054608016757554
150 0.009014157016845815
160 0.008991023594854061
170 0.008980409067481628
180 0.008979073268085754
190 0.008984318989661295
200 0.008994933614266187
210 0.009009775483489536
220 0.009028006244734011
230 0.009049235365310661
240 0.009073253886678559
250 0.009099843168659994
260 0.009128770970656314
270 0.009159486743086583
280 0.009192414998264477
290 0.009226437635578762
300 0.009261672593881439
310 0.00929781371638632
320 0.009333942863172564
330 0.00936965935937447
340 0.009404914766546623
350 0.009439589159121829
360 0.009473297843508536
370 0.009506004752512809
380 0.009537480442981498
390 0.009567626709234342
400 0.009596349180603687
410 0.009623592656286784
420 0.009649407205011956
430 0.009673780945172482
440 0.009696768220212771
450 0.00971842733219948
460 0.009738812838584689
470 0.009757996913974743
480 0.0097760453086302
490 0.009793022011256326
500 0.009809008592939431
510 0.009824071893713884
520 0.009838281770979489
530 0.009851696923089051
540 0.009864382054831238
550 0.009876370342424085
560 0.009887730439999361
570 0.009898496644788826
580 0.009908702694465706
590 0.009918391105231046
600 0.009927590595007188
610 0.009936335304255512
620 0.009944645839190271
630 0.009952552156437615
640 0.009960065899650705
650 0.009967216280508923
660 0.009974032579670458
670 0.009980523239565151
680 0.009986708987581094
690 0.009992593461161514
700 0.009998206353223266
710 0.01000355798490163
720 0.01000866251319315
730 0.01001353130816163
740 0.01001817544659766
750 0.01002260400394555
760 0.01002683339689958
770 0.0100308631635752
780 0.01003471333556707
790 0.01003838843248764
800 0.01004190372033138
810 0.0100452524181214
820 0.01004845005818688
830 0.01005150475405461
840 0.01005441891704078
850 0.01005720037931585
860 0.01005985603363353
870 0.01006239129443294
880 0.01006481219907648
890 0.01006712358574016
900 0.01006933256048391
910 0.01007143545952801
920 0.01007344416835394
930 0.01007536398509012
940 0.01007719502216383
950 0.01007894397355765
960 0.01008061243050065
970 0.01008220502410854
980 0.01008372511259044
990 0.01008517588416875
1000 0.01008656000903296
